relativt støjniveau;co2 (ppm);temprature (C);relativ luftfugtighed (%RH)
71;0;0;0
13;0;0;0
75;0;0;0
40;0;0;0
71;0;0;0
14;0;0;0
267;0;0;0
23;0;0;0
233;0;0;0
18;0;0;0
76;0;0;0
89;0;0;0
157;0;0;0
13;0;0;0
39;0;0;0
194;0;0;0
126;0;0;0
146;0;0;0
117;1246;27;32
158;1246;27;32
45;1246;27;32
179;1246;27;32
107;1246;27;32
221;1246;27;32
92;1246;27;32
84;1246;27;32
141;1246;27;32
136;1246;27;32
185;1246;27;32
101;1246;27;32
49;1246;27;32
11;1246;27;32
225;1246;27;32
186;1246;27;32
0;1246;27;32
133;1246;27;32
125;1246;27;32
138;1245;26;33
184;1245;26;33
89;1245;26;33
27;1245;26;33
192;1245;26;33
228;1245;26;33
91;1245;26;33
241;1245;26;33
158;1245;26;33
61;1245;26;33
102;1245;26;33
204;1245;26;33
160;1245;26;33
233;1245;26;33
0;1245;26;33
8;1245;26;33
74;1245;26;33
114;1245;26;33
76;1245;26;34
176;1245;26;34
130;1245;26;34
194;1245;26;34
46;1245;26;34
166;1245;26;34
64;1245;26;34
199;1245;26;34
172;1245;26;34
45;1245;26;34
104;1245;26;34
35;1245;26;34
220;1245;26;34
0;1245;26;34
81;1245;26;34
52;1245;26;34
216;1245;26;34
76;1245;26;34
18;1241;26;34
38;1241;26;34
24;1241;26;34
211;1241;26;34
185;1241;26;34
131;1241;26;34
87;1241;26;34
33;1241;26;34
21;1241;26;34
148;1241;26;34
123;1241;26;34
97;1241;26;34
38;1241;26;34
111;1241;26;34
41;1241;26;34
246;1241;26;34
43;1241;26;34
166;1241;26;34
223;1241;26;34
238;1228;25;35
21;1228;25;35
23;1228;25;35
109;1228;25;35
133;1228;25;35
47;1228;25;35
35;1228;25;35
6;1228;25;35
12;1228;25;35
12;1228;25;35
12;1228;25;35
120;1228;25;35
123;1228;25;35
253;1228;25;35
19;1228;25;35
39;1228;25;35
19;1228;25;35
115;1228;25;35
160;1234;25;35
53;1234;25;35
78;1234;25;35
29;1234;25;35
40;1234;25;35
176;1234;25;35
27;1234;25;35
15;1234;25;35
30;1234;25;35
21;1234;25;35
15;1234;25;35
37;1234;25;35
26;1234;25;35
11;1234;25;35
178;1234;25;35
24;1234;25;35
316;1234;25;35
50;1234;25;35
46;1234;25;35
3;1223;25;35
8;1223;25;35
3;1223;25;35
14;1223;25;35
11;1223;25;35
14;1223;25;35
48;1223;25;35
49;1223;25;35
12;1223;25;35
48;1223;25;35
18;1223;25;35
19;1223;25;35
15;1223;25;35
10;1223;25;35
309;1223;25;35
27;1223;25;35
2;1223;25;35
58;1223;25;35
32;1225;25;36
159;1225;25;36
93;1225;25;36
50;1225;25;36
41;1225;25;36
49;1225;25;36
23;1225;25;36
13;1225;25;36
12;1225;25;36
128;1225;25;36
17;1225;25;36
89;1225;25;36
19;1225;25;36
329;1225;25;36
58;1225;25;36
12;1225;25;36
186;1225;25;36
46;1225;25;36
30;1228;25;36
30;1228;25;36
127;1228;25;36
69;1228;25;36
51;1228;25;36
59;1228;25;36
250;1228;25;36
309;1228;25;36
17;1228;25;36
71;1228;25;36
86;1228;25;36
142;1228;25;36
105;1228;25;36
65;1228;25;36
39;1228;25;36
19;1228;25;36
247;1228;25;36
238;1228;25;36
62;1228;25;36
32;1231;24;36
10;1231;24;36
120;1231;24;36
241;1231;24;36
176;1231;24;36
210;1231;24;36
136;1231;24;36
238;1231;24;36
123;1231;24;36
246;1231;24;36
164;1231;24;36
14;1231;24;36
21;1231;24;36
69;1231;24;36
230;1231;24;36
156;1231;24;36
0;1231;24;36
17;1231;24;36
63;1231;24;37
15;1231;24;37
31;1231;24;37
38;1231;24;37
11;1231;24;37
4;1231;24;37
15;1231;24;37
8;1231;24;37
93;1231;24;37
6;1231;24;37
22;1231;24;37
17;1231;24;37
80;1231;24;37
214;1231;24;37
164;1231;24;37
0;1231;24;37
0;1231;24;37
104;1231;24;37
39;1229;24;37
30;1229;24;37
7;1229;24;37
17;1229;24;37
22;1229;24;37
24;1229;24;37
38;1229;24;37
42;1229;24;37
43;1229;24;37
149;1229;24;37
104;1229;24;37
196;1229;24;37
50;1229;24;37
169;1229;24;37
0;1229;24;37
26;1229;24;37
79;1229;24;37
242;1229;24;37
55;1229;24;37
235;1228;24;37
15;1228;24;37
23;1228;24;37
10;1228;24;37
92;1228;24;37
45;1228;24;37
64;1228;24;37
107;1228;24;37
18;1228;24;37
13;1228;24;37
30;1228;24;37
141;1228;24;37
162;1228;24;37
118;1228;24;37
40;1228;24;37
259;1228;24;37
0;1228;24;37
55;1228;24;37
68;1226;24;37
31;1226;24;37
16;1226;24;37
10;1226;24;37
7;1226;24;37
11;1226;24;37
12;1226;24;37
22;1226;24;37
19;1226;24;37
25;1226;24;37
11;1226;24;37
15;1226;24;37
13;1226;24;37
29;1226;24;37
265;1226;24;37
0;1226;24;37
10;1226;24;37
12;1226;24;37
13;1226;24;37
17;1225;24;38
9;1225;24;38
29;1225;24;38
13;1225;24;38
27;1225;24;38
14;1225;24;38
32;1225;24;38
18;1225;24;38
23;1225;24;38
21;1225;24;38
73;1225;24;38
16;1225;24;38
176;1225;24;38
43;1225;24;38
48;1225;24;38
7;1225;24;38
310;1225;24;38
11;1225;24;38
34;1223;23;38
90;1223;23;38
174;1223;23;38
81;1223;23;38
160;1223;23;38
46;1223;23;38
64;1223;23;38
38;1223;23;38
33;1223;23;38
15;1223;23;38
8;1223;23;38
9;1223;23;38
8;1223;23;38
8;1223;23;38
5;1223;23;38
311;1223;23;38
123;1223;23;38
30;1223;23;38
149;1223;23;38
252;1223;23;38
184;1223;23;38
26;1223;23;38
43;1223;23;38
20;1223;23;38
8;1223;23;38
15;1223;23;38
13;1223;23;38
225;1223;23;38
84;1223;23;38
37;1223;23;38
24;1223;23;38
3;1223;23;38
252;1223;23;38
101;1223;23;38
68;1223;23;38
247;1223;23;38
81;1223;23;38
60;1214;23;38
13;1214;23;38
108;1214;23;38
41;1214;23;38
24;1214;23;38
9;1214;23;38
96;1214;23;38
16;1214;23;38
8;1214;23;38
16;1214;23;38
14;1214;23;38
177;1214;23;38
43;1214;23;38
20;1214;23;38
5;1214;23;38
1;1214;23;38
145;1214;23;38
53;1214;23;38
107;1209;23;38
54;1209;23;38
36;1209;23;38
12;1209;23;38
53;1209;23;38
97;1209;23;38
74;1209;23;38
46;1209;23;38
46;1209;23;38
49;1209;23;38
90;1209;23;38
26;1209;23;38
14;1209;23;38
0;1209;23;38
12;1209;23;38
123;1209;23;38
182;1209;23;38
0;1209;23;38
36;1209;23;38
79;1205;23;38
30;1205;23;38
23;1205;23;38
14;1205;23;38
23;1205;23;38
20;1205;23;38
24;1205;23;38
9;1205;23;38
8;1205;23;38
13;1205;23;38
46;1205;23;38
22;1205;23;38
16;1205;23;38
94;1205;23;38
242;1205;23;38
0;1205;23;38
30;1205;23;38
10;1205;23;38
14;1201;23;39
37;1201;23;39
7;1201;23;39
186;1201;23;39
37;1201;23;39
54;1201;23;39
41;1201;23;39
19;1201;23;39
47;1201;23;39
32;1201;23;39
9;1201;23;39
52;1201;23;39
102;1201;23;39
251;1201;23;39
0;1201;23;39
16;1201;23;39
36;1201;23;39
79;1201;23;39
122;1192;22;39
31;1192;22;39
38;1192;22;39
56;1192;22;39
36;1192;22;39
13;1192;22;39
88;1192;22;39
192;1192;22;39
22;1192;22;39
22;1192;22;39
14;1192;22;39
18;1192;22;39
49;1192;22;39
0;1192;22;39
26;1192;22;39
25;1192;22;39
274;1192;22;39
0;1192;22;39
12;1192;22;39
35;1181;22;39
17;1181;22;39
106;1181;22;39
73;1181;22;39
23;1181;22;39
135;1181;22;39
60;1181;22;39
34;1181;22;39
1;1181;22;39
4;1181;22;39
6;1181;22;39
22;1181;22;39
149;1181;22;39
22;1181;22;39
300;1181;22;39
7;1181;22;39
4;1181;22;39
26;1181;22;39
115;1246;21;39
69;1246;21;39
9;1246;21;39
88;1246;21;39
118;1246;21;39
114;1246;21;39
20;1246;21;39
220;1246;21;39
137;1246;21;39
269;1246;21;39
40;1246;21;39
22;1246;21;39
9;1246;21;39
265;1246;21;39
19;1246;21;39
4;1246;21;39
5;1246;21;39
290;1246;21;39
9;1246;21;39
34;1229;21;39
136;1229;21;39
252;1229;21;39
252;1229;21;39
372;1229;21;39
57;1229;21;39
121;1229;21;39
262;1229;21;39
26;1229;21;39
260;1229;21;39
22;1229;21;39
17;1229;21;39
45;1229;21;39
26;1229;21;39
96;1229;21;39
196;1229;21;39
121;1229;21;39
6;1229;21;39
9;1207;20;40
61;1207;20;40
17;1207;20;40
16;1207;20;40
251;1207;20;40
15;1207;20;40
57;1207;20;40
106;1207;20;40
154;1207;20;40
13;1207;20;40
11;1207;20;40
7;1207;20;40
11;1207;20;40
120;1207;20;40
206;1207;20;40
151;1207;20;40
0;1207;20;40
29;1207;20;40
20;1206;20;40
9;1206;20;40
16;1206;20;40
52;1206;20;40
123;1206;20;40
13;1206;20;40
35;1206;20;40
17;1206;20;40
17;1206;20;40
9;1206;20;40
4;1206;20;40
12;1206;20;40
12;1206;20;40
174;1206;20;40
185;1206;20;40
0;1206;20;40
0;1206;20;40
76;1206;20;40
6;1206;20;40
32;1206;20;40
78;1206;20;40
226;1206;20;40
216;1206;20;40
100;1206;20;40
112;1206;20;40
97;1206;20;40
186;1206;20;40
130;1206;20;40
87;1206;20;40
37;1206;20;40
63;1206;20;40
43;1206;20;40
0;1206;20;40
1;1206;20;40
40;1206;20;40
227;1206;20;40
91;1206;20;40
49;1159;19;41
46;1159;19;41
74;1159;19;41
37;1159;19;41
17;1159;19;41
6;1159;19;41
77;1159;19;41
22;1159;19;41
35;1159;19;41
68;1159;19;41
150;1159;19;41
36;1159;19;41
13;1159;19;41
101;1159;19;41
28;1159;19;41
264;1159;19;41
1;1159;19;41
9;1159;19;41
12;1159;19;41
50;1142;19;41
147;1142;19;41
29;1142;19;41
18;1142;19;41
15;1142;19;41
31;1142;19;41
72;1142;19;41
36;1142;19;41
124;1142;19;41
59;1142;19;41
93;1142;19;41
34;1142;19;41
17;1142;19;41
234;1142;19;41
52;1142;19;41
59;1142;19;41
8;1142;19;41
36;1142;19;41
20;923;18;42
211;923;18;42
169;923;18;42
141;923;18;42
54;923;18;42
21;923;18;42
5;923;18;42
172;923;18;42
97;923;18;42
178;923;18;42
236;923;18;42
103;923;18;42
94;923;18;42
2;923;18;42
1;923;18;42
5;923;18;42
242;923;18;42
21;923;18;42
83;882;16;43
167;882;16;43
14;882;16;43
11;882;16;43
60;882;16;43
53;882;16;43
83;882;16;43
11;882;16;43
48;882;16;43
24;882;16;43
34;882;16;43
16;882;16;43
34;882;16;43
18;882;16;43
50;882;16;43
196;882;16;43
92;882;16;43
7;882;16;43
15;882;16;43
31;1092;15;44
9;1092;15;44
11;1092;15;44
26;1092;15;44
130;1092;15;44
16;1092;15;44
23;1092;15;44
56;1092;15;44
14;1092;15;44
18;1092;15;44
69;1092;15;44
17;1092;15;44
19;1092;15;44
191;1092;15;44
218;1092;15;44
0;1092;15;44
10;1092;15;44
13;1092;15;44
24;1080;13;46
9;1080;13;46
71;1080;13;46
110;1080;13;46
19;1080;13;46
94;1080;13;46
15;1080;13;46
9;1080;13;46
27;1080;13;46
17;1080;13;46
14;1080;13;46
12;1080;13;46
28;1080;13;46
232;1080;13;46
0;1080;13;46
0;1080;13;46
44;1080;13;46
206;1080;13;46
27;1080;13;46
44;1062;13;47
13;1062;13;47
44;1062;13;47
17;1062;13;47
50;1062;13;47
8;1062;13;47
27;1062;13;47
13;1062;13;47
74;1062;13;47
39;1062;13;47
23;1062;13;47
34;1062;13;47
0;1062;13;47
48;1062;13;47
17;1062;13;47
279;1062;13;47
12;1062;13;47
16;1062;13;47
19;1054;13;47
30;1054;13;47
25;1054;13;47
126;1054;13;47
241;1054;13;47
16;1054;13;47
22;1054;13;47
11;1054;13;47
103;1054;13;47
26;1054;13;47
32;1054;13;47
11;1054;13;47
229;1054;13;47
16;1054;13;47
320;1054;13;47
156;1054;13;47
50;1054;13;47
100;1054;13;47
13;909;13;47
56;909;13;47
24;909;13;47
57;909;13;47
147;909;13;47
19;909;13;47
191;909;13;47
80;909;13;47
33;909;13;47
18;909;13;47
134;909;13;47
29;909;13;47
9;909;13;47
227;909;13;47
208;909;13;47
